pID,trialNum,graph,walk,respR,respL,path
16,1,modular,5,"['space', 'l']","['a', 'f']",img/target_8.png
16,2,modular,4,"['j', 'l']","['s', 'f']",img/target_11.png
16,3,modular,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
16,4,modular,4,"['j', 'l']","['s', 'f']",img/target_11.png
16,5,modular,5,"['space', 'l']","['a', 'f']",img/target_8.png
16,6,modular,4,"['j', 'l']","['s', 'f']",img/target_11.png
16,7,modular,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
16,8,modular,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
16,9,modular,4,"['j', 'l']","['s', 'f']",img/target_11.png
16,10,modular,5,"['space', 'l']","['a', 'f']",img/target_8.png
16,11,modular,7,"['space', 'k']","['a', 'd']",img/target_7.png
16,12,modular,5,"['space', 'l']","['a', 'f']",img/target_8.png
16,13,modular,4,"['j', 'l']","['s', 'f']",img/target_11.png
16,14,modular,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
16,15,modular,0,"['space', 'j']","['a', 's']",img/target_6.png
16,16,modular,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
16,17,modular,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
16,18,modular,0,"['space', 'j']","['a', 's']",img/target_6.png
16,19,modular,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
16,20,modular,4,"['j', 'l']","['s', 'f']",img/target_11.png
16,21,modular,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
16,22,modular,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
16,23,modular,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
16,24,modular,1,"['k', 'semicolon']","['d', 'space']",img/target_14.png
16,25,modular,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
16,26,modular,4,"['j', 'l']","['s', 'f']",img/target_11.png
16,27,modular,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
16,28,modular,4,"['j', 'l']","['s', 'f']",img/target_11.png
16,29,modular,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
16,30,modular,0,"['space', 'j']","['a', 's']",img/target_6.png
16,31,modular,1,"['k', 'semicolon']","['d', 'space']",img/target_14.png
16,32,modular,4,"['j', 'l']","['s', 'f']",img/target_11.png
