pID,trialNum,graph,walk,respR,respL,path
1,1,lattice,1,"['j', 'k']","['s', 'd']",img/target_10.png
1,2,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
1,3,lattice,5,"['k', 'l']","['d', 'f']",img/target_13.png
1,4,lattice,7,"['space', 'l']","['a', 'f']",img/target_8.png
1,5,lattice,9,"['space', 'j']","['a', 's']",img/target_6.png
1,6,lattice,7,"['space', 'l']","['a', 'f']",img/target_8.png
1,7,lattice,8,"['j', 'l']","['s', 'f']",img/target_11.png
1,8,lattice,7,"['space', 'l']","['a', 'f']",img/target_8.png
1,9,lattice,9,"['space', 'j']","['a', 's']",img/target_6.png
1,10,lattice,1,"['j', 'k']","['s', 'd']",img/target_10.png
1,11,lattice,2,"['space', 'k']","['a', 'd']",img/target_7.png
1,12,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
1,13,lattice,5,"['k', 'l']","['d', 'f']",img/target_13.png
1,14,lattice,4,"['j', 'semicolon']","['s', 'space']",img/target_12.png
1,15,lattice,5,"['k', 'l']","['d', 'f']",img/target_13.png
1,16,lattice,6,"['space', 'semicolon']","['a', 'space']",img/target_9.png
1,17,lattice,8,"['j', 'l']","['s', 'f']",img/target_11.png
1,18,lattice,9,"['space', 'j']","['a', 's']",img/target_6.png
1,19,lattice,7,"['space', 'l']","['a', 'f']",img/target_8.png
1,20,lattice,6,"['space', 'semicolon']","['a', 'space']",img/target_9.png
1,21,lattice,5,"['k', 'l']","['d', 'f']",img/target_13.png
1,22,lattice,4,"['j', 'semicolon']","['s', 'space']",img/target_12.png
1,23,lattice,6,"['space', 'semicolon']","['a', 'space']",img/target_9.png
1,24,lattice,8,"['j', 'l']","['s', 'f']",img/target_11.png
1,25,lattice,7,"['space', 'l']","['a', 'f']",img/target_8.png
1,26,lattice,6,"['space', 'semicolon']","['a', 'space']",img/target_9.png
1,27,lattice,4,"['j', 'semicolon']","['s', 'space']",img/target_12.png
1,28,lattice,2,"['space', 'k']","['a', 'd']",img/target_7.png
1,29,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
1,30,lattice,5,"['k', 'l']","['d', 'f']",img/target_13.png
1,31,lattice,7,"['space', 'l']","['a', 'f']",img/target_8.png
1,32,lattice,6,"['space', 'semicolon']","['a', 'space']",img/target_9.png
1,33,lattice,5,"['k', 'l']","['d', 'f']",img/target_13.png
1,34,lattice,6,"['space', 'semicolon']","['a', 'space']",img/target_9.png
1,35,lattice,5,"['k', 'l']","['d', 'f']",img/target_13.png
1,36,lattice,6,"['space', 'semicolon']","['a', 'space']",img/target_9.png
1,37,lattice,5,"['k', 'l']","['d', 'f']",img/target_13.png
1,38,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
1,39,lattice,4,"['j', 'semicolon']","['s', 'space']",img/target_12.png
1,40,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
1,41,lattice,2,"['space', 'k']","['a', 'd']",img/target_7.png
1,42,lattice,0,"['k', 'semicolon']","['d', 'space']",img/target_14.png
1,43,lattice,2,"['space', 'k']","['a', 'd']",img/target_7.png
1,44,lattice,4,"['j', 'semicolon']","['s', 'space']",img/target_12.png
1,45,lattice,2,"['space', 'k']","['a', 'd']",img/target_7.png
1,46,lattice,4,"['j', 'semicolon']","['s', 'space']",img/target_12.png
1,47,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
1,48,lattice,2,"['space', 'k']","['a', 'd']",img/target_7.png
1,49,lattice,4,"['j', 'semicolon']","['s', 'space']",img/target_12.png
1,50,lattice,2,"['space', 'k']","['a', 'd']",img/target_7.png
1,51,lattice,0,"['k', 'semicolon']","['d', 'space']",img/target_14.png
1,52,lattice,1,"['j', 'k']","['s', 'd']",img/target_10.png
1,53,lattice,9,"['space', 'j']","['a', 's']",img/target_6.png
1,54,lattice,8,"['j', 'l']","['s', 'f']",img/target_11.png
1,55,lattice,7,"['space', 'l']","['a', 'f']",img/target_8.png
1,56,lattice,8,"['j', 'l']","['s', 'f']",img/target_11.png
1,57,lattice,9,"['space', 'j']","['a', 's']",img/target_6.png
1,58,lattice,0,"['k', 'semicolon']","['d', 'space']",img/target_14.png
1,59,lattice,1,"['j', 'k']","['s', 'd']",img/target_10.png
1,60,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
1,61,lattice,5,"['k', 'l']","['d', 'f']",img/target_13.png
1,62,lattice,4,"['j', 'semicolon']","['s', 'space']",img/target_12.png
1,63,lattice,5,"['k', 'l']","['d', 'f']",img/target_13.png
1,64,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
1,65,lattice,4,"['j', 'semicolon']","['s', 'space']",img/target_12.png
1,66,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
1,67,lattice,2,"['space', 'k']","['a', 'd']",img/target_7.png
