pID,trialNum,graph,walk,respR,respL,path
3,1,lattice,6,"['k', 'semicolon']","['d', 'space']",img/target_14.png
3,2,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,3,lattice,6,"['k', 'semicolon']","['d', 'space']",img/target_14.png
3,4,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,5,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
3,6,lattice,1,"['space', 'j']","['a', 's']",img/target_6.png
3,7,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
3,8,lattice,8,"['space', 'l']","['a', 'f']",img/target_8.png
3,9,lattice,0,"['space', 'k']","['a', 'd']",img/target_7.png
3,10,lattice,2,"['j', 'k']","['s', 'd']",img/target_10.png
3,11,lattice,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
3,12,lattice,2,"['j', 'k']","['s', 'd']",img/target_10.png
3,13,lattice,1,"['space', 'j']","['a', 's']",img/target_6.png
3,14,lattice,0,"['space', 'k']","['a', 'd']",img/target_7.png
3,15,lattice,8,"['space', 'l']","['a', 'f']",img/target_8.png
3,16,lattice,6,"['k', 'semicolon']","['d', 'space']",img/target_14.png
3,17,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,18,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
3,19,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,20,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,21,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,22,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
3,23,lattice,0,"['space', 'k']","['a', 'd']",img/target_7.png
3,24,lattice,1,"['space', 'j']","['a', 's']",img/target_6.png
3,25,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
3,26,lattice,1,"['space', 'j']","['a', 's']",img/target_6.png
3,27,lattice,2,"['j', 'k']","['s', 'd']",img/target_10.png
3,28,lattice,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
3,29,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,30,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
3,31,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,32,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
3,33,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,34,lattice,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
3,35,lattice,2,"['j', 'k']","['s', 'd']",img/target_10.png
3,36,lattice,0,"['space', 'k']","['a', 'd']",img/target_7.png
3,37,lattice,1,"['space', 'j']","['a', 's']",img/target_6.png
3,38,lattice,2,"['j', 'k']","['s', 'd']",img/target_10.png
3,39,lattice,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
3,40,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,41,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,42,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
3,43,lattice,1,"['space', 'j']","['a', 's']",img/target_6.png
3,44,lattice,0,"['space', 'k']","['a', 'd']",img/target_7.png
3,45,lattice,8,"['space', 'l']","['a', 'f']",img/target_8.png
3,46,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,47,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,48,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,49,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
3,50,lattice,1,"['space', 'j']","['a', 's']",img/target_6.png
3,51,lattice,0,"['space', 'k']","['a', 'd']",img/target_7.png
3,52,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
3,53,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,54,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,55,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
3,56,lattice,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
3,57,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,58,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,59,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,60,lattice,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
3,61,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,62,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
3,63,lattice,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
3,64,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
3,65,lattice,1,"['space', 'j']","['a', 's']",img/target_6.png
3,66,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
3,67,lattice,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
3,68,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,69,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
3,70,lattice,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
3,71,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,72,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
3,73,lattice,2,"['j', 'k']","['s', 'd']",img/target_10.png
3,74,lattice,1,"['space', 'j']","['a', 's']",img/target_6.png
3,75,lattice,2,"['j', 'k']","['s', 'd']",img/target_10.png
3,76,lattice,0,"['space', 'k']","['a', 'd']",img/target_7.png
3,77,lattice,8,"['space', 'l']","['a', 'f']",img/target_8.png
3,78,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
3,79,lattice,1,"['space', 'j']","['a', 's']",img/target_6.png
3,80,lattice,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
3,81,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,82,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,83,lattice,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
3,84,lattice,6,"['k', 'semicolon']","['d', 'space']",img/target_14.png
3,85,lattice,8,"['space', 'l']","['a', 'f']",img/target_8.png
3,86,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
3,87,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,88,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
3,89,lattice,8,"['space', 'l']","['a', 'f']",img/target_8.png
3,90,lattice,0,"['space', 'k']","['a', 'd']",img/target_7.png
3,91,lattice,2,"['j', 'k']","['s', 'd']",img/target_10.png
3,92,lattice,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
3,93,lattice,6,"['k', 'semicolon']","['d', 'space']",img/target_14.png
3,94,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,95,lattice,8,"['space', 'l']","['a', 'f']",img/target_8.png
3,96,lattice,0,"['space', 'k']","['a', 'd']",img/target_7.png
3,97,lattice,8,"['space', 'l']","['a', 'f']",img/target_8.png
3,98,lattice,6,"['k', 'semicolon']","['d', 'space']",img/target_14.png
3,99,lattice,8,"['space', 'l']","['a', 'f']",img/target_8.png
3,100,lattice,0,"['space', 'k']","['a', 'd']",img/target_7.png
3,101,lattice,8,"['space', 'l']","['a', 'f']",img/target_8.png
3,102,lattice,0,"['space', 'k']","['a', 'd']",img/target_7.png
3,103,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
3,104,lattice,8,"['space', 'l']","['a', 'f']",img/target_8.png
3,105,lattice,7,"['j', 'l']","['s', 'f']",img/target_11.png
3,106,lattice,9,"['k', 'l']","['d', 'f']",img/target_13.png
